,新增死亡,新增死亡,新增死亡,新增死亡,新增死亡,新增死亡,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例
,全国合计,上海,北京,四川,河南,重庆,全国合计,广东,重庆,北京,山西,四川,新疆,云南,广西,黑龙江,吉林,陕西,天津,湖北,山东,青海,辽宁,江苏,甘肃,河北,宁夏,河南,内蒙古,湖南,安徽,浙江,上海,福建,贵州,海南,江西,西藏,兵团
2022-01-01,,,,,,,134,,,,,,,,,,,123.0,,,,,,,,,,4.0,,,,7.0,,,,,,,
2022-01-02,,,,,,,105,,,,,,,,,,,92.0,,,,,,,,,,3.0,,,,9.0,1.0,,,,,,
2022-01-03,,,,,,,125,,,,,,,,,,,95.0,,,,,,,,,,20.0,,,,8.0,2.0,,,,,,
2022-01-04,,,,,,,61,,,,,,,,,,,35.0,,,,,,,,,,20.0,,,,2.0,4.0,,,,,,
2022-01-05,,,,,,,112,,,,,,,,,,,63.0,,,,,,,,,,43.0,,,,6.0,,,,,,,
2022-01-06,,,,,,,98,,,,,,,,,,,57.0,,,,,,,,,,36.0,,,,2.0,3.0,,,,,,
2022-01-07,,,,,,,101,2.0,,,,,,,,,,46.0,,,,,,,,,,44.0,,,,4.0,5.0,,,,,,
2022-01-08,,,,,,,89,1.0,,,,,,,,,,30.0,3.0,,,,,,,,,53.0,,,,2.0,,,,,,,
2022-01-09,,,,,,,99,1.0,,,,,,,,,,15.0,23.0,,,,,,,,,60.0,,,,,,,,,,,
2022-01-10,,,,,,,121,,,,,,,,,,,13.0,21.0,,,,,,,,,87.0,,,,,,,,,,,
2022-01-11,,,,,,,170,8.0,,,,,,,,,,8.0,36.0,,,,,,,,,118.0,,,,,,,,,,,
2022-01-12,,,,,,,133,2.0,,,,,,1.0,,,,6.0,46.0,,,,2.0,,,,,76.0,,,,,,,,,,,
2022-01-13,,,,,,,146,1.0,,,,,,,,,,8.0,34.0,,,,,,,,,98.0,,,,,5.0,,,,,,
2022-01-14,,,,,,,104,9.0,,,,,,,,,,4.0,38.0,,,,,,,,,52.0,,,,1.0,,,,,,,
2022-01-15,,,,,,,64,2.0,,1.0,,,,,,,,1.0,27.0,,,,,,,,,29.0,,,,1.0,3.0,,,,,,
2022-01-16,,,,,,,162,8.0,,,,,,,1.0,,,5.0,80.0,,,,,,,,,68.0,,,,,,,,,,,
2022-01-17,,,,,,,128,5.0,,1.0,,,,,,,,1.0,18.0,,,,1.0,,,,,102.0,,,,,,,,,,,
2022-01-18,,,,,,,55,8.0,,2.0,,,,,,,,,12.0,,,,,,,,,33.0,,,,,,,,,,,
2022-01-19,,,,,,,38,4.0,,2.0,,,,,,,,,8.0,,,,,,,,,24.0,,,,,,,,,,,
2022-01-20,,,,,,,25,4.0,,5.0,,,,2.0,,,,3.0,8.0,,,,,,,,,3.0,,,,,,,,,,,
2022-01-21,,,,,,,29,3.0,,16.0,,,,,,,,,6.0,,,,,,,,,4.0,,,,,,,,,,,
2022-01-22,,,,,,,25,4.0,,12.0,,,,3.0,,,,,5.0,,,,,,,,,1.0,,,,,,,,,,,
2022-01-23,,,,,,,21,0.0,,7.0,1.0,,2.0,3.0,,,,,1.0,,3.0,,,,,3.0,,1.0,,,,,,,,,,,
2022-01-24,,,,,,,36,,,6.0,,,22.0,,,,,,1.0,,,,1.0,,,2.0,,3.0,,,,,1.0,,,,,,
2022-01-25,,,,,,,44,1.0,,19.0,,,8.0,,,13.0,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,
2022-01-26,,,,,,,40,,,4.0,,,4.0,,,15.0,,,1.0,,,,,,,4.0,,1.0,,,,6.0,1.0,,,,1.0,,3.0
2022-01-27,,,,,,,49,,,7.0,,,,,,18.0,,,4.0,1.0,,,,,,,,,,,,16.0,,,1.0,,,,2.0
2022-01-28,,,,,,,40,,,5.0,1.0,,4.0,,,2.0,,,5.0,,,,,,,1.0,,2.0,,,,18.0,,,,,,,2.0
2022-01-29,,,,,,,67,,,18.0,,,1.0,1.0,,20.0,,,4.0,,,,,,,,,2.0,,,,19.0,,,,,,,2.0
2022-01-30,,,,,,,43,,,3.0,,,,,,5.0,,,11.0,,,,,,,,,0.0,,,,24.0,,,,,,,
2022-01-31,,,,,,,28,1.0,,3.0,,,,,,,,,7.0,,,,,,,4.0,,,,,,13.0,,,,,,,
2022-02-01,,,,,,,40,10.0,,2.0,,,,,,,,,12.0,,,,,,,1.0,,,,,,15.0,,,,,,,
2022-02-02,,,,,,,19,7.0,,2.0,,,,,,,,,9.0,,,,,,,,,,,,,1.0,,,,,,,
2022-02-03,,,,,,,12,5.0,,1.0,,,,,,,,,4.0,,,,,,,,,,,,,2.0,,,,,,,
2022-02-04,,,,,,,8,5.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
2022-02-05,,,,,,,13,1.0,,1.0,,,,,6.0,,,,2.0,,,,,,,2.0,,,,1.0,,,,,,,,,
2022-02-06,,,,,,,54,4.0,,2.0,,,,,42.0,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,
2022-02-07,,,,,,,65,,,,,,,,62.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,
2022-02-08,,,,,,,72,,,,,,,,70.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
2022-02-09,,,,,,,8,,,,,,,,7.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
2022-02-10,,,,,,,61,,,,,,,,33.0,2.0,,,,,,,24.0,1.0,,,,,,,,,,,1.0,,,,
2022-02-11,,,,,,,40,,,,,,,,30.0,,,,,,,,10.0,,,,,,,,,,,,,,,,
2022-02-12,,,,,,,28,1.0,,,,,,3.0,12.0,,,,1.0,,,,11.0,,,,,,,,,,,,,,,,
2022-02-13,,,,,,,34,2.0,,,,,,7.0,6.0,1.0,,,,,,,18.0,,,,,,,,,,,,,,,,
2022-02-14,,,,,,,46,2.0,,,,,,3.0,1.0,,,,,,,,28.0,12.0,,,,,,,,,,,,,,,
2022-02-15,,,,,,,51,4.0,,,,,,1.0,2.0,,,,,,,,15.0,22.0,,,,,7.0,,,,,,,,,,
2022-02-16,,,,,,,46,9.0,,,,,,3.0,1.0,,,,,,,,7.0,23.0,,,,,3.0,,,,,,,,,,
2022-02-17,,,,,,,60,5.0,,,,,,8.0,,,,,,,,,9.0,16.0,,,,,22.0,,,,,,,,,,
2022-02-18,,,,,,,87,3.0,,,,,,5.0,,2.0,,,,,,,8.0,22.0,,,,,46.0,,,1.0,,,,,,,
2022-02-19,,,,,,,105,8.0,,,,2.0,,3.0,,,,,,,,,9.0,16.0,,,,,66.0,,,,,,,1.0,,,
2022-02-20,,,,,,,81,7.0,,,5.0,7.0,,2.0,,4.0,,,,,,,7.0,16.0,,,,,31.0,,,,2.0,,,,,,
2022-02-21,,,,,,,59,3.0,,4.0,,4.0,,5.0,,,,,,4.0,,,6.0,11.0,,,,,22.0,,,,,,,,,,
2022-02-22,,,,,,,105,9.0,,10.0,,11.0,,3.0,,1.0,,,,10.0,1.0,,9.0,5.0,,,,,46.0,,,,,,,,,,
2022-02-23,,,,,,,105,9.0,,2.0,2.0,7.0,,9.0,3.0,5.0,,,,11.0,,,8.0,8.0,,1.0,,,40.0,,,,,,,,,,
2022-02-24,,,,,,,100,13.0,,2.0,3.0,7.0,,13.0,4.0,3.0,,,1.0,2.0,1.0,,18.0,2.0,,,,,30.0,,,,1.0,,,,,,
2022-02-25,,,,,,,122,39.0,,1.0,,4.0,,20.0,9.0,2.0,,,,,,,10.0,3.0,,,,,32.0,,,,1.0,1.0,,,,,
2022-02-26,,,,,,,133,53.0,,2.0,1.0,2.0,,14.0,7.0,3.0,,,4.0,,,,6.0,2.0,,,,,38.0,,,,1.0,,,,,,
2022-02-27,,,,,,,140,65.0,,,5.0,1.0,,23.0,11.0,7.0,,,10.0,5.0,,,1.0,,,,,,11.0,,,,1.0,,,,,,
2022-02-28,,,,,,,114,56.0,,,1.0,2.0,,12.0,6.0,8.0,,,4.0,3.0,1.0,,,3.0,,,,,14.0,,,,3.0,,,1.0,,,
2022-03-01,,,,,,,117,45.0,,,1.0,2.0,,10.0,10.0,16.0,8.0,,1.0,,4.0,,2.0,,,,,,16.0,,,,2.0,,,,,,
2022-03-02,,,,,,,89,34.0,,,1.0,1.0,,10.0,6.0,4.0,10.0,,1.0,4.0,,,,1.0,,1.0,,,7.0,,,,8.0,,,1.0,,,
2022-03-03,,,,,,,112,27.0,,,,,,16.0,6.0,8.0,16.0,,1.0,4.0,,,,1.0,,5.0,,,9.0,,,2.0,16.0,,,1.0,,,
2022-03-04,,,,,,,166,61.0,,,0.0,0.0,,10.0,4.0,1.0,43.0,,3.0,2.0,5.0,,,1.0,,7.0,,,8.0,1.0,,,19.0,,,1.0,,,
2022-03-05,,,,,,,299,52.0,,,1.0,,,21.0,12.0,,59.0,2.0,,1.0,88.0,,,7.0,,14.0,,1.0,9.0,,,3.0,28.0,,,1.0,,,
2022-03-06,,,,,,,523,173.0,,,2.0,,,22.0,11.0,,64.0,,,2.0,163.0,,3.0,6.0,12.0,10.0,,,7.0,,,0.0,48.0,,,,,,
2022-03-07,,,,,,,499,116.0,,1.0,2.0,,,23.0,3.0,,72.0,5.0,3.0,,175.0,,8.0,15.0,11.0,4.0,,,2.0,,,4.0,55.0,,,,,,
2022-03-08,,,,,,,542,26.0,1.0,6.0,3.0,,,28.0,4.0,15.0,174.0,17.0,12.0,,156.0,,2.0,15.0,1.0,11.0,,,4.0,,1.0,1.0,65.0,,,,,,
2022-03-09,,,,,,,827,22.0,,5.0,0.0,,,24.0,1.0,9.0,343.0,21.0,21.0,,175.0,1.0,3.0,18.0,77.0,15.0,,4.0,3.0,,2.0,3.0,80.0,,,,,,
2022-03-10,,,,,,,1079,177.0,,6.0,,,,30.0,6.0,10.0,244.0,18.0,17.0,1.0,366.0,0.0,3.0,48.0,28.0,32.0,,1.0,1.0,,,16.0,75.0,,,,,,
2022-03-11,,,,,,,1519,224.0,,1.0,,,,23.0,5.0,3.0,400.0,30.0,41.0,,555.0,1.0,2.0,33.0,43.0,44.0,,1.0,1.0,,,25.0,83.0,2.0,,2.0,,,
2022-03-12,,,,,,,3008,256.0,9.0,6.0,,,,22.0,9.0,3.0,2156.0,43.0,26.0,,236.0,,3.0,42.0,41.0,73.0,,0.0,1.0,1.0,,14.0,65.0,,2.0,,,,
2022-03-13,,,,,,,2048,229.0,7.0,8.0,,,,39.0,17.0,17.0,985.0,56.0,50.0,,163.0,,9.0,38.0,27.0,213.0,,,,,1.0,8.0,167.0,10.0,,,4.0,,
2022-03-14,,,,,,,5081,116.0,12.0,6.0,,2.0,,28.0,23.0,15.0,4048.0,53.0,47.0,,170.0,,33.0,46.0,25.0,198.0,,1.0,,1.0,12.0,38.0,139.0,63.0,4.0,,1.0,,
2022-03-15,,,,,,,3001,112.0,12.0,10.0,,,,38.0,25.0,26.0,1832.0,28.0,64.0,1.0,159.0,,44.0,72.0,20.0,277.0,,,1.0,1.0,7.0,29.0,202.0,36.0,2.0,,3.0,,
2022-03-16,,,,,,,2404,153.0,5.0,4.0,,,,29.0,30.0,29.0,1146.0,26.0,50.0,,122.0,,156.0,72.0,20.0,216.0,,,4.0,,11.0,31.0,157.0,141.0,1.0,,1.0,,
2022-03-17,,,,,,,4106,132.0,16.0,8.0,,1.0,,29.0,22.0,51.0,2626.0,33.0,58.0,,220.0,,125.0,51.0,25.0,217.0,,1.0,7.0,2.0,4.0,21.0,260.0,190.0,,,7.0,,
2022-03-18,,,,,,,3844,94.0,3.0,1.0,,,,29.0,18.0,63.0,2203.0,11.0,25.0,,198.0,,128.0,37.0,23.0,269.0,,5.0,6.0,7.0,15.0,21.0,374.0,275.0,3.0,,36.0,,
2022-03-19,,,,,,,3757,78.0,7.0,1.0,,,,21.0,24.0,23.0,1475.0,15.0,17.0,,428.0,,160.0,50.0,44.0,555.0,,2.0,8.0,5.0,16.0,31.0,503.0,263.0,,,31.0,,
2022-03-20,,,,,,,4277,51.0,2.0,4.0,,,,29.0,21.0,41.0,2055.0,14.0,19.0,,297.0,,144.0,58.0,32.0,407.0,,10.0,7.0,10.0,10.0,18.0,758.0,255.0,,1.0,34.0,,
2022-03-21,,,,,,,4533,28.0,3.0,6.0,,,,13.0,18.0,55.0,2432.0,7.0,36.0,,207.0,,246.0,31.0,33.0,223.0,,6.0,4.0,8.0,12.0,7.0,895.0,215.0,,,48.0,,
2022-03-22,,,,,,,4843,26.0,1.0,4.0,,,,17.0,7.0,41.0,2775.0,3.0,47.0,,178.0,,150.0,24.0,43.0,192.0,,11.0,,2.0,11.0,5.0,981.0,267.0,,,58.0,,
2022-03-23,,,,,,,4682,16.0,,4.0,,1.0,,16.0,8.0,37.0,2565.0,3.0,76.0,1.0,182.0,,143.0,19.0,29.0,237.0,,11.0,4.0,7.0,8.0,4.0,983.0,230.0,,,98.0,,
2022-03-24,,,,,,,4669,10.0,,,,,,18.0,17.0,36.0,1919.0,3.0,64.0,,150.0,,186.0,25.0,33.0,312.0,,21.0,,1.0,25.0,1.0,1609.0,169.0,1.0,,69.0,,
2022-03-25,,,,,,,5528,11.0,0.0,2.0,,,,12.0,10.0,20.0,2453.0,3.0,55.0,,79.0,,145.0,13.0,40.0,203.0,,13.0,1.0,1.0,16.0,1.0,2264.0,158.0,,,28.0,,
2022-03-26,,,,,,,5426,10.0,1.0,1.0,,,,13.0,11.0,11.0,1975.0,6.0,40.0,,68.0,,106.0,17.0,15.0,146.0,,24.0,2.0,4.0,18.0,5.0,2676.0,265.0,,,12.0,,
2022-03-27,,,,,,,5998,22.0,,,,,,12.0,13.0,25.0,1792.0,0.0,14.0,2.0,63.0,,125.0,19.0,12.0,151.0,,14.0,1.0,,38.0,3.0,3500.0,184.0,,,8.0,,
2022-03-28,,,,,,,6838,18.0,,,3.0,1.0,,6.0,10.0,25.0,1855.0,3.0,13.0,,50.0,,73.0,24.0,11.0,114.0,,11.0,,5.0,18.0,11.0,4456.0,125.0,,,6.0,,
2022-03-29,,,,,,,8589,16.0,2.0,2.0,1.0,,2.0,3.0,13.0,27.0,2158.0,,7.0,1.0,27.0,,55.0,33.0,10.0,81.0,,36.0,1.0,3.0,34.0,13.0,5964.0,87.0,1.0,2.0,10.0,,
2022-03-30,,,,,,,8398,19.0,1.0,,2.0,3.0,24.0,7.0,11.0,37.0,2155.0,,4.0,5.0,27.0,,49.0,45.0,8.0,83.0,,34.0,0.0,5.0,67.0,24.0,5637.0,134.0,1.0,4.0,12.0,,
2022-03-31,,,,,,,7173,18.0,2.0,,,3.0,13.0,2.0,16.0,33.0,2210.0,,3.0,5.0,31.0,,61.0,43.0,9.0,52.0,,20.0,2.0,5.0,50.0,13.0,4482.0,76.0,1.0,4.0,19.0,,
2022-04-01,,,,,,,9831,22.0,2.0,,,1.0,9.0,6.0,6.0,50.0,2954.0,,0.0,11.0,31.0,2.0,56.0,65.0,9.0,68.0,,18.0,,3.0,56.0,25.0,6309.0,71.0,,13.0,44.0,,
2022-04-02,,,,,,,13028,9.0,1.0,,1.0,10.0,5.0,6.0,4.0,17.0,4427.0,3.0,4.0,18.0,10.0,,45.0,47.0,7.0,36.0,,20.0,,2.0,95.0,14.0,8153.0,45.0,1.0,9.0,39.0,,
2022-04-03,,,,,,,12974,12.0,1.0,1.0,5.0,16.0,6.0,3.0,,24.0,3510.0,1.0,2.0,9.0,17.0,7.0,39.0,59.0,3.0,111.0,,22.0,,3.0,70.0,16.0,8935.0,31.0,2.0,26.0,43.0,,
2022-04-04,,,,,,,16312,4.0,1.0,9.0,6.0,16.0,9.0,16.0,2.0,27.0,2398.0,,5.0,16.0,28.0,2.0,57.0,76.0,4.0,109.0,,31.0,2.0,1.0,49.0,36.0,13350.0,13.0,2.0,2.0,41.0,,
2022-04-05,,,,,,,20345,8.0,,5.0,8.0,12.0,7.0,5.0,2.0,11.0,2706.0,2.0,6.0,6.0,49.0,2.0,49.0,76.0,1.0,109.0,,33.0,,2.0,56.0,63.0,17037.0,22.0,2.0,31.0,35.0,,
2022-04-06,,,,,,,22900,4.0,,3.0,8.0,8.0,4.0,6.0,8.0,20.0,2383.0,,4.0,4.0,28.0,1.0,22.0,78.0,,142.0,2.0,36.0,1.0,,60.0,47.0,19967.0,18.0,1.0,11.0,34.0,,
2022-04-07,,,,,,,23689,9.0,,9.0,8.0,4.0,1.0,9.0,11.0,6.0,2205.0,14.0,,3.0,49.0,2.0,37.0,75.0,,163.0,,19.0,2.0,1.0,69.0,42.0,20899.0,11.0,,5.0,36.0,,
2022-04-08,,,,,,,24580,9.0,1.0,6.0,11.0,2.0,2.0,3.0,4.0,11.0,902.0,6.0,1.0,2.0,42.0,,25.0,78.0,,109.0,,18.0,1.0,,70.0,29.0,23204.0,10.0,,3.0,31.0,,
2022-04-09,,,,,,,26049,22.0,,3.0,7.0,3.0,5.0,3.0,7.0,2.0,907.0,2.0,1.0,17.0,20.0,,12.0,70.0,,87.0,,5.0,,,44.0,38.0,24752.0,8.0,,5.0,29.0,,
2022-04-10,,,,,,,27419,37.0,,,4.0,1.0,3.0,9.0,2.0,3.0,953.0,7.0,,33.0,15.0,,12.0,53.0,,100.0,,4.0,,,68.0,34.0,26040.0,16.0,,5.0,20.0,,
2022-04-11,,,,,,,24211,29.0,,4.0,3.0,2.0,,5.0,6.0,2.0,740.0,,1.0,37.0,16.0,3.0,25.0,75.0,,44.0,,14.0,1.0,,61.0,25.0,23069.0,26.0,,3.0,20.0,,
2022-04-12,,,,,,,27768,22.0,,,4.0,3.0,,11.0,71.0,4.0,988.0,2.0,2.0,45.0,21.0,11.0,32.0,74.0,,38.0,,14.0,1.0,2.0,61.0,25.0,26307.0,12.0,,1.0,17.0,,
2022-04-13,,,,,,,28973,66.0,1.0,1.0,8.0,,,10.0,129.0,9.0,785.0,4.0,,42.0,29.0,14.0,33.0,53.0,,31.0,,46.0,3.0,,50.0,15.0,27605.0,18.0,,0.0,21.0,,
2022-04-14,,,,,,,23762,40.0,1.0,2.0,53.0,1.0,,22.0,136.0,10.0,435.0,7.0,2.0,30.0,28.0,10.0,21.0,50.0,,23.0,,26.0,4.0,,47.0,12.0,22765.0,16.0,1.0,1.0,19.0,,
2022-04-15,,,,,,,23695,37.0,,,24.0,,3.0,56.0,55.0,34.0,575.0,2.0,,41.0,6.0,4.0,28.0,56.0,1.0,17.0,,24.0,2.0,1.0,44.0,12.0,22591.0,69.0,,2.0,8.0,,3.0
2022-04-16,,,,,,,24792,36.0,,,44.0,,,51.0,17.0,60.0,656.0,5.0,,12.0,23.0,10.0,8.0,87.0,,5.0,,21.0,2.0,1.0,58.0,28.0,23643.0,22.0,,,3.0,,
2022-04-17,3.0,3.0,,,,,22452,30.0,,3.0,59.0,,,31.0,16.0,54.0,501.0,2.0,,11.0,30.0,15.0,9.0,95.0,,,,10.0,1.0,,59.0,68.0,21395.0,18.0,1.0,,44.0,,
2022-04-18,7.0,7.0,,,,,20469,14.0,,2.0,33.0,,1.0,14.0,15.0,95.0,446.0,5.0,,14.0,17.0,2.0,17.0,133.0,1.0,29.0,,24.0,,1.0,61.0,46.0,19442.0,6.0,,,51.0,,
